question,answer,Category,School_Level
How do I reset my school email password?,Contact IT help desk or use the password reset link on the login page. You'll need to verify your identity with security questions or phone verification.,Account Management,All
"The projector in my classroom isn't working, what should I do?","Check power cable connections, ensure projector is plugged in, press power button, and verify input source matches your device connection (HDMI/VGA).",Hardware,All
How do I connect to the school WiFi?,"Select the school WiFi network, enter your staff credentials (username/password), or ask IT for the guest network password if needed.",Network,All
"My laptop won't turn on, what's wrong?","Check if battery is charged, try holding power button for 10 seconds, plug in charger and wait 5 minutes, then try powering on again.",Hardware,All
How do I access the student information system?,"Use your web browser to go to the school portal URL, log in with your staff credentials, and navigate to the student information section.",Software,All
The interactive whiteboard isn't responding to touch.,"Check USB connection to computer, restart the interactive whiteboard software, calibrate the touch screen, and ensure drivers are updated.",Hardware,Elementary/Secondary/IB
How do I share files with other teachers?,"Use the school's shared drive, cloud storage system (Google Drive/OneDrive), or email. Ask IT for access permissions to shared folders.",File Management,All
My printer is showing offline status.,"Check printer power and connections, restart printer, ensure WiFi/network connection, and try printing a test page.",Hardware,All
How do I set up video conferencing for parent meetings?,"Use school-approved platforms like Zoom/Teams, schedule meeting in advance, send calendar invites with meeting links to parents.",Communication,All
The computer lab machines are running very slowly.,"Clear temporary files, restart computers, check for virus scans running, close unnecessary programs, and report to IT if issues persist.",Performance,All
How do I backup my important lesson plans?,"Save files to school cloud storage, use USB backup drives, or email files to yourself. Set up automatic backup if available.",Data Management,All
Students can't access the learning management system.,"Verify student login credentials, check if LMS server is running, ensure students are using correct URL, and reset passwords if needed.",Software,All
How do I block inappropriate websites in my classroom?,"Contact IT to configure content filtering, use supervised browsing mode, or install classroom management software to control student access.",Security,All
My microphone isn't working during online classes.,"Check microphone connection, test audio settings, ensure microphone isn't muted, update audio drivers, and try using a different microphone.",Hardware,All
How do I create digital assignments for IB students?,"Use school LMS to create assignments, set deadlines and rubrics, enable file submissions, and provide clear instructions and resources.",Curriculum,IB
The school's gradebook system isn't saving my entries.,"Check internet connection, try refreshing the page, clear browser cache, use a different browser, or contact IT if data loss occurs.",Software,All
How do I set parental controls on classroom iPads?,"Access device management settings, configure app restrictions, set time limits, block inappropriate content, and enable guided access mode.",Device Management,Preschool/Elementary
Students are playing games instead of doing coursework.,"Use classroom management software to monitor screens, block gaming websites, implement usage policies, and configure app restrictions.",Classroom Management,All
How do I troubleshoot audio issues during assemblies?,"Check all cable connections, test microphone levels, ensure speakers are powered on, verify audio input settings, and have backup microphone ready.",Hardware,All
My classroom computer won't connect to the internet.,"Check ethernet/WiFi connection, restart network adapter, try different network, verify IP settings, and test with different device.",Network,All
How do I secure sensitive student data?,"Use encrypted storage, implement strong passwords, limit access permissions, regular backups, and follow school data protection policies.",Security,All
The school website is loading very slowly.,"Clear browser cache, try different browser, check internet speed, contact IT about server performance, and use wired connection if possible.",Performance,All
How do I integrate educational apps with our current system?,"Check app compatibility, review data privacy policies, test integration features, coordinate with IT for installation and user management.",Integration,All
Students forgot their login passwords for online exams.,"Use password reset functionality, verify student identity, temporarily assign new passwords, and document the process for security.",Account Management,Secondary/IB
How do I monitor student progress on digital platforms?,"Use built-in analytics tools, set up progress tracking, generate reports regularly, and integrate with gradebook systems.",Assessment,All
The document camera isn't displaying properly.,"Check video cable connections, adjust focus and lighting, clean camera lens, verify correct input source, and restart camera software.",Hardware,All
How do I create secure online quizzes?,"Use LMS quiz tools, enable lockdown browser, set time limits, randomize questions, enable proctoring features if available.",Assessment,Secondary/IB
My email isn't syncing across devices.,"Check email settings on all devices, verify server configurations, update email apps, ensure proper authentication, and test connectivity.",Communication,All
How do I handle cyberbullying incidents online?,"Document evidence, report to administration, block/restrict users, involve parents, and follow school's digital citizenship policies.",Safety,All
The attendance system isn't working properly.,"Restart attendance software, check network connection, verify time/date settings, update student roster, and contact system administrator.",Software,All
How do I prepare technology for standardized testing?,"Update all devices, install required testing software, check network bandwidth, prepare backup systems, and train staff on procedures.",Testing,Secondary/IB
Students can't submit digital portfolios for IB assessment.,"Check file size limits, verify upload formats, test submission portal, clear browser cache, and provide alternative submission methods.",Assessment,IB
How do I set up a virtual field trip?,"Choose appropriate platform, test technology in advance, coordinate with external providers, prepare backup plans, and brief students on expectations.",Education Technology,All
The school's backup system failed last night.,"Check backup logs, verify storage capacity, test backup media, restart backup service, and implement immediate manual backup.",Data Management,All
How do I configure tablets for special needs students?,"Install accessibility apps, adjust display settings, configure voice controls, set up communication tools, and customize interface layout.",Accessibility,All
My computer keeps freezing during important presentations.,"Close unnecessary programs, check available memory, update graphics drivers, scan for malware, and have backup presentation ready.",Performance,All
How do I manage software licenses for the school?,"Maintain license inventory, track usage numbers, ensure compliance, plan renewals in advance, and negotiate volume discounts.",Licensing,All
Students are accessing social media during class time.,"Configure network filtering, use classroom management tools, implement acceptable use policies, and monitor device usage.",Classroom Management,Secondary/IB
The library's catalog system is down.,"Restart catalog software, check database connectivity, verify server status, try accessing from different computers, and contact vendor support.",Software,All
How do I create digital certificates for student achievements?,"Use digital credentialing platforms, design templates, set up automated distribution, maintain security standards, and track issued certificates.",Digital Credentials,All
My classroom speakers have no sound.,"Check volume levels, verify audio cable connections, test with different audio source, update audio drivers, and check mute settings.",Hardware,All
How do I implement BYOD policies safely?,"Create acceptable use agreements, configure network access controls, install security software, provide user training, and establish support procedures.",Policy,Secondary/IB
The student portal keeps timing out.,"Check session timeout settings, clear browser cookies, try different browser, verify network stability, and contact portal administrator.",Software,All
How do I protect against ransomware attacks?,"Implement regular backups, keep software updated, train staff on phishing, use antivirus software, and restrict user permissions.",Security,All
Students need help with digital research skills.,"Provide training on search techniques, teach source evaluation, introduce citation tools, create research guides, and offer one-on-one support.",Digital Literacy,All
The fire alarm system is interfering with WiFi.,"Check for frequency conflicts, relocate WiFi equipment, use different channels, coordinate with facilities team, and test alternative solutions.",Network,All
How do I manage classroom technology inventory?,"Use asset tracking software, assign device ID numbers, maintain checkout logs, schedule regular audits, and document repairs/replacements.",Inventory,All
